param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,D,hybrid_taxon,15,6,21,71.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,E,hybrid_taxon,15,6,21,71.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,C,minor_donor,14,7,21,66.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,F,hybrid_taxon,8,8,16,50.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,H,hybrid_taxon,14,0,14,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,H,major_donor,12,2,14,85.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,G,major_donor,5,2,7,71.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,C,major_donor,27,5,32,84.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,B,major_donor,26,5,31,83.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,E,major_donor,28,2,30,93.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,F,minor_donor,30,0,30,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,C,minor_donor,24,5,29,82.8
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,B,minor_donor,23,4,27,85.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,D,hybrid_taxon,21,5,26,80.8
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,G,minor_donor,22,4,26,84.6
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,H,minor_donor,22,4,26,84.6
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,D,minor_donor,19,6,25,76.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,D,major_donor,21,2,23,91.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,E,minor_donor,17,6,23,73.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,B,hybrid_taxon,14,8,22,63.6
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,C,hybrid_taxon,13,8,21,61.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,F,major_donor,7,13,20,35.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,G,hybrid_taxon,19,0,19,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,E,hybrid_taxon,14,5,19,73.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,H,hybrid_taxon,15,0,15,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,H,major_donor,12,0,12,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,G,major_donor,8,0,8,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,F,hybrid_taxon,3,4,7,42.9
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,B,major_donor,92,2,94,97.9
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,C,major_donor,92,2,94,97.9
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,H,minor_donor,84,2,86,97.7
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,D,hybrid_taxon,84,1,85,98.8
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,E,hybrid_taxon,82,1,83,98.8
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,G,hybrid_taxon,13,0,13,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,E,major_donor,12,0,12,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,F,major_donor,10,1,11,90.9
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,D,minor_donor,10,1,11,90.9
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,H,hybrid_taxon,10,0,10,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,D,major_donor,10,0,10,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,H,major_donor,3,0,3,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,G,minor_donor,2,1,3,66.7
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,C,minor_donor,1,1,2,50.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,E,minor_donor,0,2,2,0.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,F,minor_donor,2,0,2,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,F,hybrid_taxon,0,1,1,0.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,B,hybrid_taxon,0,1,1,0.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,C,hybrid_taxon,0,1,1,0.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,B,minor_donor,0,1,1,0.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,B,major_donor,74,4,78,94.9
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,C,major_donor,74,4,78,94.9
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,D,hybrid_taxon,72,3,75,96.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,H,minor_donor,72,1,73,98.6
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,E,hybrid_taxon,67,3,70,95.7
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,G,hybrid_taxon,16,0,16,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,E,major_donor,14,0,14,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,G,minor_donor,12,1,13,92.3
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,D,minor_donor,11,1,12,91.7
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,H,hybrid_taxon,11,0,11,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,F,major_donor,8,3,11,72.7
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,H,major_donor,9,0,9,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,D,major_donor,9,0,9,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,C,minor_donor,6,3,9,66.7
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,B,minor_donor,3,2,5,60.0
