param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,B,major_donor,50,7,57,87.7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,D,major_donor,38,7,45,84.4
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,E,major_donor,37,7,44,84.1
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,B,minor_donor,33,9,42,78.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,C,minor_donor,33,9,42,78.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,E,minor_donor,29,10,39,74.4
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,D,minor_donor,27,10,37,73.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,F,hybrid_taxon,18,15,33,54.5
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,G,minor_donor,19,14,33,57.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,H,minor_donor,19,14,33,57.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,E,hybrid_taxon,25,0,25,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,D,hybrid_taxon,24,0,24,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,B,hybrid_taxon,22,0,22,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,F,major_donor,20,0,20,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,C,hybrid_taxon,18,0,18,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,H,hybrid_taxon,16,0,16,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,G,hybrid_taxon,12,0,12,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,F,minor_donor,12,0,12,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,G,major_donor,10,1,11,90.9
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,H,major_donor,6,1,7,85.7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,A,hybrid_taxon,3,0,3,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,C,major_donor,32,14,46,69.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,H,minor_donor,30,13,43,69.8
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,B,major_donor,27,14,41,65.9
